z,tip,sleeve
0.025,13.7644,48.9334
0.05,55.0427,68.6599
0.075,50.4913,88.3865
0.1,32.7215,98.6328
0.125,33.5907,145.0764
0.15,35.3423,190.6582
0.175,37.2075,261.8078
0.2,33.023,189.126
0.225,25.4033,279.8107
0.25,23.3764,218.8116
0.275,24.6497,292.451
0.3,20.0076,252.2318
0.325,16.2258,242.3686
0.35,16.8088,243.9007
0.375,14.2164,238.4424
0.4,10.3038,205.1179
0.425,9.2564,206.0755
0.45,9.1471,198.0317
0.475,8.3258,189.126
0.5,7.6469,166.5266
0.525,7.3034,117.306
0.55,6.9069,99.7819
0.575,6.3453,83.9815
0.6,5.7629,69.9048
0.625,5.3022,58.7009
0.65,4.9841,52.285
0.675,4.7039,46.5394
0.7,4.4822,42.3259
0.725,4.3255,38.8786
0.75,4.2262,36.4846
0.775,4.0963,33.899
0.8,3.9996,32.5584
0.825,3.9148,31.6966
0.85,3.8536,31.2178
0.875,3.8348,29.7814
0.9,3.8323,29.7814
0.925,3.8509,30.0686
0.95,3.9333,29.9729
0.975,4.0483,30.9305
1,4.2121,31.505
1.025,4.2967,32.9414
1.05,4.3718,33.3245
1.075,4.4649,31.505
1.1,4.6357,33.516
1.125,4.9089,36.1015
1.15,5.0846,40.698
1.175,5.6715,47.2097
1.2,5.9854,54.3917
1.225,6.1836,64.7338
1.25,6.5095,77.3741
1.275,6.8397,96.6218
1.3,7.2282,122.094
1.325,7.5149,154.6524
1.35,7.7512,172.2722
1.375,7.8539,182.4228
1.4,7.8058,209.2356
1.425,7.8573,216.5134
1.45,7.9087,216.2261
1.475,7.9226,213.066
1.5,7.9582,211.4381
1.525,7.8223,209.0441
1.55,7.4941,210.0017
1.575,7.1334,209.9059
1.6,6.8786,205.884
1.625,6.2352,202.0536
1.65,6.1945,192.8606
1.675,6.3588,180.1246
1.7,6.6615,166.3351
1.725,7.0142,160.8768
1.75,7.289,160.2065
1.775,7.4342,162.2174
1.8,7.2441,166.2394
1.825,6.8261,171.1231
1.85,6.23,181.1779
1.875,5.9247,187.4023
1.9,5.7914,182.327
1.925,5.3703,171.0274
1.95,5.418,165.8563
1.975,6.0943,168.6334
2,6.5696,159.2489
2.025,6.4229,145.3637
2.05,6.5156,135.8834
2.075,6.5345,132.8191
2.1,6.4448,150.822
2.125,6.2394,161.0683
2.15,6.441,158.004
2.175,6.6781,157.1422
2.2,7.3931,155.8015
2.225,7.5022,165.9521
2.25,7.5178,178.0178
2.275,7.4552,190.9454
2.3,7.184,202.9154
2.325,6.6145,203.9688
2.35,6.2664,203.5858
2.375,6.5695,200.5214
2.4,6.785,198.8935
2.425,6.9807,190.6582
2.45,6.8184,182.5186
2.475,6.6025,181.561
2.5,6.455,181.0822
2.525,6.317,181.7525
2.55,6.3114,185.6786
2.575,6.2539,193.7225
2.6,6.2224,199.5638
2.625,6.2074,199.9469
2.65,5.9302,190.1794
2.675,6.3187,179.167
2.7,6.6168,171.4104
2.725,6.6938,176.3899
2.75,6.9796,186.0617
2.775,6.9658,191.7115
2.8,6.0086,186.0617
2.825,5.3978,193.1479
2.85,5.584,193.8182
2.875,5.8228,187.8811
2.9,5.6283,180.4118
2.925,5.6168,176.1984
2.95,5.9944,180.4118
2.975,5.8603,170.6443
3,6.113,170.2613
3.025,7.6217,170.4528
3.05,9.4809,166.7182
3.075,10.0567,183.1889
3.1,10.4305,178.3051
3.125,11.2138,181.6567
3.15,11.3908,191.52
3.175,9.6887,194.6801
3.2,9.5667,198.6062
3.225,9.2294,207.0331
3.25,8.8821,218.7158
3.275,8.3785,236.3357
3.3,8.648,228.1961
3.325,8.8647,220.631
3.35,8.5984,222.1632
3.375,8.4473,230.4943
3.4,8.0649,239.783
3.425,7.9056,254.9131
3.45,8.5938,245.0498
3.475,8.5011,230.5901
3.5,8.7451,226.0894
3.525,9.3187,224.1742
3.55,9.2473,219.0989
3.575,9.4071,218.0455
3.6,9.43,213.8321
3.625,9.4409,203.873
3.65,9.49,212.683
3.675,9.7303,225.5148
3.7,10.0408,234.4205
3.725,10.313,247.6354
3.75,10.5711,250.0294
3.775,10.9533,247.4438
3.8,11.8088,252.3276
3.825,12.2169,255.8707
3.85,12.4259,256.0622
3.875,12.4568,257.8817
3.9,12.468,258.4562
3.925,12.8577,263.0527
3.95,13.2952,271.7669
3.975,13.5837,280.9598
4,13.8143,287.3758
4.025,14.2078,302.1228
4.05,14.5876,316.7741
4.075,14.7892,325.584
4.1,14.8294,320.1257
4.125,14.5401,315.2419
4.15,14.1496,315.2419
4.175,13.6713,310.2624
4.2,13.7492,302.8889
4.225,13.8271,303.0804
4.25,14.3388,306.2405
4.275,14.9868,308.1557
4.3,15.3499,313.997
4.325,15.3762,324.0518
4.35,15.1364,333.9151
4.375,14.8234,344.736
4.4,14.6807,353.3544
4.425,15.1385,360.1534
4.45,15.4782,362.4516
4.475,15.471,363.505
4.5,15.4001,372.6979
4.525,15.2498,375.1877
4.55,15.3617,376.8156
4.575,15.3573,371.7403
4.6,16.1697,366.7608
4.625,16.338,373.081
4.65,16.4212,380.263
4.675,16.5486,378.9223
4.7,16.8153,382.4654
4.725,16.6875,386.7746
4.75,16.5972,392.1372
4.775,16.7359,399.8938
4.8,17.2379,409.374
4.825,18.1439,424.9829
4.85,19.2716,438.5808
4.875,20.0827,457.5413
4.9,20.2265,471.1392
4.925,19.5954,474.5866
4.95,18.889,467.6918
4.975,17.9472,454.477
5,16.9324,430.8242
5.025,16.1981,414.162
5.05,15.5923,403.5326
5.075,15.192,341.3844
5.1,14.804,333.0533
5.125,14.4595,329.0314
5.15,14.1155,297.8136
5.175,14.1554,293.2171
5.2,14.1143,291.4934
5.225,13.6624,290.7274
5.25,13.4122,293.0256
5.275,13.7101,300.4949
5.3,14.1269,310.4539
5.325,14.647,320.796
5.35,15.4893,320.796
5.375,15.8925,339.1819
5.4,16.0777,352.1095
5.425,16.1747,365.5159
5.45,16.1747,371.5488
5.475,16.0102,379.2096
5.5,15.7355,382.9442
5.525,15.463,378.9223
5.55,15.2884,378.0605
5.575,14.8969,371.6446
5.6,14.526,368.1014
5.625,14.5764,368.1972
5.65,14.7075,368.1972
5.675,14.9351,366.0905
5.7,15.4082,367.5269
5.725,15.6651,376.0495
5.75,15.7518,395.01
5.775,16.3757,427.9514
5.8,17.1973,450.8381
5.825,17.9898,472.2883
5.85,18.3511,491.2488
5.875,18.0758,516.3379
5.9,18.0127,514.5185
5.925,18.0662,498.1435
5.95,18.2754,473.4374
5.975,18.2624,449.4017
6,18.2233,413.3959
6.025,18.1945,376.7198
6.05,17.7224,350.6731
6.075,17.1529,324.7222
6.1,16.3545,307.6769
6.125,15.7057,288.0461
6.15,15.6873,285.269
6.175,15.6688,296.7602
6.2,16.0929,313.7098
6.225,16.5967,327.595
6.25,17.1481,342.1505
6.275,17.4294,357.8551
6.3,17.5196,379.1138
6.325,17.6755,388.7856
6.35,17.9941,399.798
6.375,18.2081,406.2139
6.4,18.3684,427.2811
6.425,18.5075,440.113
6.45,18.4896,449.4974
6.475,18.4954,459.648
6.5,18.2491,466.0639
6.525,18.0314,473.7247
6.55,17.6425,473.8205
6.575,17.2481,467.4046
6.6,16.8766,457.8286
6.625,16.3583,453.6151
6.65,16.3794,457.4455
6.675,16.9527,460.2226
6.7,17.7611,479.7576
6.725,18.2511,492.2064
6.75,18.4691,489.4294
6.775,18.0865,486.1735
6.8,17.0891,484.8329
6.825,16.2316,476.3102
6.85,15.4943,469.7986
6.875,15.4547,471.618
6.9,15.9504,489.6209
6.925,17.1136,508.9644
6.95,18.7856,535.0111
6.975,19.5542,568.9102
7,19.5047,562.6858
7.025,19.276,556.3656
7.05,18.9191,556.2698
7.075,18.4743,546.9811
7.1,18.3423,535.4899
7.125,18.2103,535.9687
7.15,18.6529,536.639
7.175,19.0291,548.226
7.2,19.2222,574.8473
7.225,19.1733,599.0746
7.25,18.7577,628.4729
7.275,18.5514,641.4962
7.3,18.3139,639.6768
7.325,18.1263,639.4853
7.35,17.9785,647.1461
7.375,18.2129,674.5334
7.4,18.5788,693.5897
7.425,18.694,724.8074
7.45,19.3269,747.7898
7.475,20.0438,772.9747
7.5,20.4865,797.585
7.525,20.8695,887.791
7.55,19.991,1023.6744
7.575,18.9071,1047.3271
7.6,18.2821,1047.3271
7.625,16.6218,1023.2914
7.65,16.0361,968.1336
7.675,17.0242,916.902
7.7,17.0242,863.6594
7.725,18.6555,832.1544
7.75,20.6429,820.5674
7.775,20.7826,803.1391
7.8,20.5457,818.6522
7.825,20.4653,833.3993
7.85,20.2044,825.547
7.875,19.6653,835.7933
7.9,19.2901,857.5308
7.925,18.7875,828.5155
7.95,18.37,793.9462
7.975,18.6699,764.069
8,18.9022,702.6869
8.025,18.5905,683.0561
8.05,18.9766,665.6278
8.075,19.0049,671.7564
8.1,19.5631,677.885
8.125,20.1737,718.4873
8.15,21.3502,727.9675
8.175,19.1567,722.2219
8.2,17.3021,724.9032
8.225,16.4512,745.1086
8.25,16.6929,737.1605
8.275,16.9958,709.1986
8.3,17.6031,688.8017
8.325,18.9363,698.1862
8.35,20.6722,708.241
8.375,20.2218,707.5706
8.4,19.7201,709.007
8.425,19.0899,730.0742
8.45,19.1885,727.0099
8.475,19.2607,702.4954
8.5,19.2186,688.3229
8.525,18.9657,688.1314
8.55,19.3112,691.3872
8.575,20.1154,684.9713
8.6,19.9559,660.361
8.625,19.6914,643.7945
8.65,19.5462,645.9012
8.675,19.2884,673.1928
8.7,19.6738,687.7483
8.725,19.954,712.9332
8.75,19.0533,715.7102
8.775,18.5499,728.9251
8.8,18.5642,788.2006
8.825,20.0128,895.1645
8.85,21.3093,930.9787
8.875,20.8613,974.1665
8.9,18.9926,956.8339
8.925,16.735,936.1498
8.95,18.2259,977.8054
8.975,19.8319,974.5495
9,19.2189,976.9435
9.025,17.179,979.4333
9.05,15.7154,971.0064
9.075,13.8729,961.9092
9.1,11.7403,815.2049
9.125,10.9538,790.1158
9.15,11.3699,781.5931
9.175,12.0776,739.363
9.2,18.5124,740.4163
9.225,19.2756,866.5322
9.25,19.5034,930.2126
9.275,19.8461,976.4647
9.3,18.4194,993.0312
9.325,18.1478,1052.3066
9.35,16.8551,1094.2495
9.375,14.9387,1035.5486
9.4,14.1588,988.0517
9.425,14.3287,979.8163
9.45,16.2138,941.0335
9.475,20.2174,872.1821
9.5,21.6309,853.0301
9.525,22.5871,897.367
9.55,22.0101,902.921
9.575,19.9874,886.163
9.6,18.0011,897.9415
9.625,17.6171,887.1206
9.65,18.2249,879.8429
9.675,19.6211,858.8714
9.7,22.047,847.093
9.725,23.1245,838.283
9.75,23.5531,833.0162
9.775,23.5835,825.1639
9.8,23.7894,834.8357
9.825,24.1394,863.0849
9.85,24.5359,884.1521
9.875,24.8601,903.9744
9.9,25.1207,931.1702
9.925,25.3608,946.8749
9.95,25.7537,957.217
9.975,26.4053,978.8587
10,27.5773,1012.4705
10.025,28.4152,1048.189
10.05,28.6484,1055.8498
10.075,28.0677,867.5856
10.1,26.7342,824.9724
10.125,24.6664,809.172
10.15,23.4636,784.1786
10.175,22.4049,761.9623
10.2,21.3461,751.9075
10.225,21.292,752.4821
10.25,21.3971,759.5683
10.275,21.7087,766.3673
10.3,22.2057,768.091
10.325,22.3746,781.4016
10.35,22.4224,789.637
10.375,22.3805,793.6589
10.4,22.2339,803.4264
10.425,21.9846,800.6494
10.45,21.8754,800.2663
10.475,22.0516,799.8833
10.5,22.4328,799.8833
10.525,22.3452,808.2144
10.55,22.426,813.8642
10.575,22.495,818.6522
10.6,22.7579,817.4074
10.625,23.1005,818.5565
10.65,23.2983,821.6208
10.675,23.5171,810.5126
10.7,23.4849,788.1048
10.725,23.5346,772.2086
10.75,23.6816,773.1662
10.775,23.9198,782.1677
10.8,24.1127,793.2758
10.825,25.1445,802.7561
10.85,26.2136,818.4607
10.875,27.0471,837.517
10.9,26.2366,836.0806
10.925,25.1418,830.4307
10.95,24.2393,822.6742
10.975,23.185,801.99
11,22.3886,770.485
11.025,22.3081,752.3863
11.05,23.0653,762.0581
11.075,23.88,765.697
11.1,23.3845,757.5574
11.125,21.7588,729.4997
11.15,20.7394,713.795
11.175,20.2127,693.3024
11.2,19.72,695.6964
11.225,19.8097,724.5202
11.25,19.6906,730.2658
11.275,19.6677,744.917
11.3,20.5252,799.5002
11.325,21.0434,829.3774
11.35,20.0504,826.6961
11.375,17.6316,822.1954
11.4,17.2927,837.1339
11.425,19.4224,837.7085
11.45,20.0724,816.2582
11.475,20.6957,789.8285
11.5,21.0629,814.6303
11.525,21.0707,846.9014
11.55,20.0291,858.2969
11.575,19.2679,895.4518
11.6,19.0039,917.0935
11.625,20.9694,907.4218
11.65,22.383,959.8982
11.675,23.8755,1046.4653
11.7,24.464,1117.9022
11.725,23.1021,1111.7736
11.75,21.5267,1063.5106
11.775,21.8143,1061.4996
11.8,21.7575,1047.5186
11.825,20.4662,972.5386
11.85,20.0467,913.0716
11.875,20.5815,902.6338
11.9,21.0709,911.9225
11.925,20.9065,910.3903
11.95,20.5626,889.0358
11.975,20.5984,854.9453
12,20.5076,817.0243
12.025,20.4617,684.8755
12.05,20.96,675.108
12.075,21.4641,668.9794
12.1,21.7009,688.8974
12.125,22.4776,785.5193
12.15,23.5099,819.8014
12.175,22.4588,840.9643
12.2,17.8049,870.3626
12.225,13.671,853.5089
12.25,13.4854,819.9929
12.275,13.5888,778.7203
12.3,15.1722,729.3082
12.325,18.3625,750.1838
12.35,21.6555,802.7561
12.375,24.377,815.6837
12.4,24.6906,887.791
12.425,22.9044,1018.5991
12.45,20.866,1036.219
12.475,20.5434,1035.8359
12.5,15.9968,1015.1518
12.525,15.4829,975.0283
12.55,16.4261,969.3785
12.575,17.195,895.5475
12.6,19.6716,810.8957
12.625,22.3677,818.5565
12.65,23.1373,996.6701
12.675,24.657,1080.7474
12.7,23.0222,1185.03
12.725,21.4556,1395.702
12.75,22.0756,1488.2062
12.775,23.8709,1518.6578
12.8,25.6147,1527.755
12.825,29.6059,1663.5427
12.85,30.3078,1651.5727
12.875,28.6364,1533.4049
12.9,28.1162,1522.4882
12.925,29.999,1634.0486
12.95,27.4278,1560.505
12.975,22.2087,1544.513
13,17.9602,1443.199
13.025,17.2411,1478.4386
13.05,18.8592,907.0387
13.075,20.2223,694.3558
13.1,18.6488,481.6728
13.125,14.7368,648.1037
13.15,15.6336,739.4587
13.175,14.2236,752.5778
13.2,11.9862,706.1342
13.225,10.2321,689.9508
13.25,10.5319,637.7616
13.275,12.8339,601.7558
13.3,16.4448,632.5906
13.325,18.7681,691.6745
13.35,19.8547,715.423
13.375,20.7942,728.9251
13.4,21.8754,738.2138
13.425,22.5089,747.8856
13.45,22.6047,751.333
13.475,22.487,757.1743
13.5,21.6859,818.6522
13.525,21.1877,848.0506
13.55,21.0332,878.4065
13.575,20.9811,916.519
13.6,20.0269,931.8406
13.625,19.5447,928.489
13.65,18.9149,905.7938
13.675,17.801,889.7062
13.7,17.2615,868.9262
13.725,16.8518,809.2678
13.75,17.4182,768.1867
13.775,18.348,757.4616
